date,slot,JEPX_prediction,JEPX_actual,EPRX1_prediction,EPRX3_prediction,EPRX1_actual,EPRX3_actual,imbalance
2023/4/1,1,14.68,14.68,10,0,10,0,10.5
2023/4/1,2,13.99,13.99,10,0,10,0,10.8
2023/4/1,3,11.83,11.83,10,0,10,0,10.82
2023/4/1,4,11.08,11.08,10,0,10,0,10.71
2023/4/1,5,11.02,11.02,10,0,10,0,10.68
2023/4/1,6,10.99,10.99,10,0,10,0,10.83
2023/4/1,7,11.3,11.3,10,0,10,0,10.64
2023/4/1,8,11.52,11.52,10,0,10,0,10.64
2023/4/1,9,13.33,13.33,10,0,10,0,10.81
2023/4/1,10,14.21,14.21,10,0,10,0,10.81
2023/4/1,11,14.23,14.23,10,0,10,0,12.5
2023/4/1,12,14.59,14.59,10,0,10,0,10.94
2023/4/1,13,14.24,14.24,10,1.2,10,1.2,11.95
2023/4/1,14,11.27,11.27,10,1.2,10,1.2,8.82
2023/4/1,15,10.35,10.35,10,1.2,10,1.2,1
2023/4/1,16,6,6,10,1.2,10,1.2,0.01
2023/4/1,17,0.01,0.01,10,1.2,10,1.2,0.01
2023/4/1,18,0.01,0.01,10,1.2,10,1.2,0.01
2023/4/1,19,0.01,0.01,10,1.2,10,1.2,0.01
2023/4/1,20,0.01,0.01,10,1.2,10,1.2,0.01
2023/4/1,21,0.01,0.01,10,1.2,10,1.2,0.01
2023/4/1,22,0.01,0.01,10,1.2,10,1.2,0.01
2023/4/1,23,0.01,0.01,10,1.2,10,1.2,0.01
2023/4/1,24,0.01,0.01,10,1.2,10,1.2,0.01
2023/4/1,25,0.01,0.01,10,1.2,10,1.2,0.01
2023/4/1,26,0.01,0.01,10,1.2,10,1.2,0.01
2023/4/1,27,0.01,0.01,10,1.2,10,1.2,0.01
2023/4/1,28,0.01,0.01,10,1.2,10,1.2,0.01
2023/4/1,29,0.01,0.01,10,1.2,10,1.2,0.01
2023/4/1,30,0.01,0.01,10,1.2,10,1.2,0.01
2023/4/1,31,1,1,10,1.2,10,1.2,0.01
2023/4/1,32,5,5,10,1.2,10,1.2,0.01
2023/4/1,33,10.35,10.35,10,1.2,10,1.2,0.01
2023/4/1,34,10.84,10.84,10,1.2,10,1.2,0.01
2023/4/1,35,14.04,14.04,10,1.2,10,1.2,0.01
2023/4/1,36,14.79,14.79,10,1.2,10,1.2,6
2023/4/1,37,14.59,14.59,10,0,10,0,9.68
2023/4/1,38,14.82,14.82,10,0,10,0,9.99
2023/4/1,39,14.72,14.72,10,0,10,0,9.62
2023/4/1,40,14.31,14.31,10,0,10,0,9.54
2023/4/1,41,14.24,14.24,10,0,10,0,9.54
2023/4/1,42,14.24,14.24,10,0,10,0,9.39
2023/4/1,43,14.23,14.23,10,0,10,0,9.54
2023/4/1,44,14.22,14.22,10,0,10,0,9.39
2023/4/1,45,14.38,14.38,10,0,10,0,9.62
2023/4/1,46,14.22,14.22,10,0,10,0,9.8
2023/4/1,47,14.21,14.21,10,0,10,0,9.39
2023/4/1,48,14.13,14.13,10,0,10,0,9.19
2023/4/2,1,14.65,14.65,10,0.57,10,0.57,10.8
2023/4/2,2,14.13,14.13,10,0.57,10,0.57,10.17
2023/4/2,3,11.3,11.3,10,0.57,10,0.57,10.17
2023/4/2,4,11.62,11.62,10,0.57,10,0.57,10.47
2023/4/2,5,11.83,11.83,10,0.57,10,0.57,10
2023/4/2,6,12.13,12.13,10,0.57,10,0.57,10.17
2023/4/2,7,13.52,13.52,10,1.2,10,1.2,10
2023/4/2,8,14.06,14.06,10,1.2,10,1.2,10.13
2023/4/2,9,14.22,14.22,10,1.2,10,1.2,10.63
2023/4/2,10,14.23,14.23,10,1.2,10,1.2,10.67
2023/4/2,11,14.24,14.24,10,1.2,10,1.2,10.97
2023/4/2,12,14.31,14.31,10,1.2,10,1.2,11.05
2023/4/2,13,14.23,14.23,10,1.2,10,1.2,10.93
2023/4/2,14,10.35,10.35,10,1.2,10,1.2,10.15
2023/4/2,15,10,10,10,1.2,10,1.2,6
2023/4/2,16,6,6,10,1.2,10,1.2,0.01
2023/4/2,17,4.65,4.65,10,1.2,10,1.2,1
2023/4/2,18,1,1,10,1.2,10,1.2,0.01
2023/4/2,19,0.02,0.02,10,1.2,10,1.2,0.01
2023/4/2,20,0.01,0.01,10,1.2,10,1.2,0.01
2023/4/2,21,0.01,0.01,10,1.2,10,1.2,0.01
2023/4/2,22,0.01,0.01,10,1.2,10,1.2,0.01
2023/4/2,23,0.01,0.01,10,1.2,10,1.2,0.01
2023/4/2,24,0.01,0.01,10,1.2,10,1.2,0.01
2023/4/2,25,0.01,0.01,10,150.01,10,150.01,0.01
2023/4/2,26,0.01,0.01,10,150.01,10,150.01,0.01
2023/4/2,27,0.01,0.01,10,150.01,10,150.01,0.01
2023/4/2,28,0.01,0.01,10,150.01,10,150.01,0.01
2023/4/2,29,0.01,0.01,10,150.01,10,150.01,0.01
2023/4/2,30,0.01,0.01,10,150.01,10,150.01,0.01
2023/4/2,31,1,1,10,1.2,10,1.2,0.01
2023/4/2,32,5,5,10,1.2,10,1.2,0.01
2023/4/2,33,10,10,10,1.2,10,1.2,1.62
2023/4/2,34,10.03,10.03,10,1.2,10,1.2,8.82
2023/4/2,35,14.23,14.23,10,1.2,10,1.2,9.65
2023/4/2,36,14.24,14.24,10,1.2,10,1.2,11.09
2023/4/2,37,14.24,14.24,10,1.05,10,1.05,11.02
2023/4/2,38,14.24,14.24,10,1.05,10,1.05,14
2023/4/2,39,14.22,14.22,10,1.05,10,1.05,13.11
2023/4/2,40,14.22,14.22,10,1.05,10,1.05,13.48
2023/4/2,41,14,14,10,1.05,10,1.05,13.28
2023/4/2,42,14.23,14.23,10,1.05,10,1.05,13.09
2023/4/2,43,14.22,14.22,10,0,10,0,13.14
2023/4/2,44,14.22,14.22,10,0,10,0,10.83
2023/4/2,45,14.21,14.21,10,0,10,0,10.64
2023/4/2,46,13.5,13.5,10,0,10,0,10.83
2023/4/2,47,13.59,13.59,10,0,10,0,10.81
2023/4/2,48,12.74,12.74,10,0,10,0,10.48
2023/4/3,1,10.99,10.99,10,0.04,10,0.04,10.48
2023/4/3,2,11.02,11.02,10,0.04,10,0.04,10.17
2023/4/3,3,10.94,10.94,10,0.04,10,0.04,8.5
2023/4/3,4,10.67,10.67,10,0.04,10,0.04,8.5
2023/4/3,5,10.6,10.6,10,0.04,10,0.04,10.17
2023/4/3,6,10.67,10.67,10,0.04,10,0.04,10.48
2023/4/3,7,10.5,10.5,10,0.04,10,0.04,10.84
2023/4/3,8,10.46,10.46,10,0.04,10,0.04,11.1
2023/4/3,9,10.63,10.63,10,0.04,10,0.04,11.74
2023/4/3,10,10.67,10.67,10,0.04,10,0.04,14.22
2023/4/3,11,10.97,10.97,10,0.04,10,0.04,14
2023/4/3,12,11.05,11.05,10,0.04,10,0.04,13.02
2023/4/3,13,10.93,10.93,10,1.2,10,1.2,12.39
2023/4/3,14,10.65,10.65,10,1.2,10,1.2,10.13
2023/4/3,15,10.47,10.47,10,1.2,10,1.2,8.98
2023/4/3,16,10.04,10.04,10,1.2,10,1.2,5.39
2023/4/3,17,13.99,13.99,10,1.2,10,1.2,1.23
2023/4/3,18,11.15,11.15,10,1.2,10,1.2,0.5
2023/4/3,19,13.91,13.91,10,163.91,10,163.91,0.2
2023/4/3,20,10.51,10.51,10,163.91,10,163.91,0.01
2023/4/3,21,9.59,9.59,10,163.91,10,163.91,0.01
2023/4/3,22,5,5,10,163.91,10,163.91,0.01
2023/4/3,23,0.02,0.02,10,163.91,10,163.91,0.01
2023/4/3,24,0.02,0.02,10,163.91,10,163.91,0.01
2023/4/3,25,0.01,0.01,10,1.2,10,1.2,0.01
2023/4/3,26,0.01,0.01,10,1.2,10,1.2,0.01
2023/4/3,27,1,1,10,1.2,10,1.2,0.01
2023/4/3,28,4.65,4.65,10,1.2,10,1.2,0.01
2023/4/3,29,9.86,9.86,10,1.2,10,1.2,0.01
2023/4/3,30,10.61,10.61,10,1.2,10,1.2,2
2023/4/3,31,13.12,13.12,10,164.66,10,164.66,3
2023/4/3,32,13.92,13.92,10,164.66,10,164.66,9.41
2023/4/3,33,10.66,10.66,10,164.66,10,164.66,8.82
2023/4/3,34,11.1,11.1,10,164.66,10,164.66,8.96
2023/4/3,35,13.86,13.86,10,164.66,10,164.66,9.62
2023/4/3,36,14.66,14.66,10,164.66,10,164.66,10.82
2023/4/3,37,15,15,10,1.2,10,1.2,11.09
2023/4/3,38,15.1,15.1,10,1.2,10,1.2,12.76
2023/4/3,39,14.99,14.99,10,1.2,10,1.2,11.09
2023/4/3,40,14.72,14.72,10,1.2,10,1.2,10.84
2023/4/3,41,14.65,14.65,10,1.2,10,1.2,10.84
2023/4/3,42,14.38,14.38,10,1.2,10,1.2,10.82
2023/4/3,43,14.38,14.38,10,0,10,0,10.48
