date,slot,JEPX_prediction,JEPX_actual,EPRX1_prediction,EPRX3_prediction,EPRX1_actual,EPRX3_actual,imbalance
2023/4/1,1,6.19,10.5,19.5,0.34,19.5,0.34,10.5
2023/4/1,2,7.76,10.8,19.5,0.34,19.5,0.34,10.8
2023/4/1,3,7.63,10.82,19.5,0.34,19.5,0.34,10.82
2023/4/1,4,7.88,10.71,19.5,0.34,19.5,0.34,10.71
2023/4/1,5,6.76,10.68,19.5,0.34,19.5,0.34,10.68
2023/4/1,6,6.75,10.83,19.5,0.34,19.5,0.34,10.83
2023/4/1,7,6.86,10.64,19.5,0.46,19.5,0.46,10.64
2023/4/1,8,7.71,10.64,19.5,0.46,19.5,0.46,10.64
2023/4/1,9,7.32,10.81,19.5,0.46,19.5,0.46,10.81
2023/4/1,10,7.43,10.81,19.5,0.46,19.5,0.46,10.81
2023/4/1,11,8.08,12.5,19.5,0.46,19.5,0.46,12.5
2023/4/1,12,8.63,10.94,19.5,0.46,19.5,0.46,10.94
2023/4/1,13,8.34,11.95,19.5,1.31,19.5,1.31,11.95
2023/4/1,14,7.46,8.82,19.5,1.31,19.5,1.31,8.82
2023/4/1,15,4.34,1,19.5,1.31,19.5,1.31,1
2023/4/1,16,2.57,0.01,19.5,1.31,19.5,1.31,0.01
2023/4/1,17,1.64,0.01,19.5,1.31,19.5,1.31,0.01
2023/4/1,18,1.14,0.01,19.5,1.31,19.5,1.31,0.01
2023/4/1,19,0.52,0.01,19.5,0.34,19.5,0.34,0.01
2023/4/1,20,0.42,0.01,19.5,0.34,19.5,0.34,0.01
2023/4/1,21,0.57,0.01,19.5,0.34,19.5,0.34,0.01
2023/4/1,22,0.59,0.01,19.5,0.34,19.5,0.34,0.01
2023/4/1,23,0.59,0.01,19.5,0.34,19.5,0.34,0.01
2023/4/1,24,0.53,0.01,19.5,0.34,19.5,0.34,0.01
2023/4/1,25,0.55,0.01,19.5,0.34,19.5,0.34,0.01
2023/4/1,26,0.51,0.01,19.5,0.34,19.5,0.34,0.01
2023/4/1,27,0.48,0.01,19.5,0.34,19.5,0.34,0.01
2023/4/1,28,0.57,0.01,19.5,0.34,19.5,0.34,0.01
2023/4/1,29,0.66,0.01,19.5,0.34,19.5,0.34,0.01
2023/4/1,30,0.52,0.01,19.5,0.34,19.5,0.34,0.01
2023/4/1,31,0.66,0.01,19.5,0.7,19.5,0.7,0.01
2023/4/1,32,1.07,0.01,19.5,0.7,19.5,0.7,0.01
2023/4/1,33,1.98,0.01,19.5,0.7,19.5,0.7,0.01
2023/4/1,34,4.49,0.01,19.5,0.7,19.5,0.7,0.01
2023/4/1,35,7.92,0.01,19.5,0.7,19.5,0.7,0.01
2023/4/1,36,10.28,6,19.5,0.7,19.5,0.7,6
2023/4/1,37,11.74,9.68,19.5,3.63,19.5,3.63,9.68
2023/4/1,38,12.21,9.99,19.5,3.63,19.5,3.63,9.99
2023/4/1,39,12,9.62,19.5,3.63,19.5,3.63,9.62
2023/4/1,40,11.51,9.54,19.5,3.63,19.5,3.63,9.54
2023/4/1,41,10.92,9.54,19.5,3.63,19.5,3.63,9.54
2023/4/1,42,10.66,9.39,19.5,3.63,19.5,3.63,9.39
2023/4/1,43,10.38,9.54,19.5,0.4,19.5,0.4,9.54
2023/4/1,44,10.01,9.39,19.5,0.4,19.5,0.4,9.39
2023/4/1,45,9.19,9.62,19.5,0.4,19.5,0.4,9.62
2023/4/1,46,8.87,9.8,19.5,0.4,19.5,0.4,9.8
2023/4/1,47,8.86,9.39,19.5,0.4,19.5,0.4,9.39
2023/4/1,48,7.39,9.19,19.5,0.4,19.5,0.4,9.19
2023/4/2,1,8.98,10.8,19.5,0.34,19.5,0.34,10.8
2023/4/2,2,9.2,10.17,19.5,0.34,19.5,0.34,10.17
2023/4/2,3,9.07,10.17,19.5,0.34,19.5,0.34,10.17
2023/4/2,4,8.99,10.47,19.5,0.34,19.5,0.34,10.47
2023/4/2,5,8.21,10,19.5,0.34,19.5,0.34,10
2023/4/2,6,8.3,10.17,19.5,0.34,19.5,0.34,10.17
2023/4/2,7,8.67,10,19.5,0.43,19.5,0.43,10
2023/4/2,8,9.04,10.13,19.5,0.43,19.5,0.43,10.13
2023/4/2,9,8.78,10.63,19.5,0.43,19.5,0.43,10.63
2023/4/2,10,8.25,10.67,19.5,0.43,19.5,0.43,10.67
2023/4/2,11,8.02,10.97,19.5,0.43,19.5,0.43,10.97
2023/4/2,12,7.85,11.05,19.5,0.43,19.5,0.43,11.05
2023/4/2,13,8.58,10.93,19.5,1.24,19.5,1.24,10.93
2023/4/2,14,7.47,10.15,19.5,1.24,19.5,1.24,10.15
2023/4/2,15,6.48,6,19.5,1.24,19.5,1.24,6
2023/4/2,16,4.33,0.01,19.5,1.24,19.5,1.24,0.01
2023/4/2,17,2.86,1,19.5,1.24,19.5,1.24,1
2023/4/2,18,2.36,0.01,19.5,1.24,19.5,1.24,0.01
2023/4/2,19,0.42,0.01,19.5,0.37,19.5,0.37,0.01
2023/4/2,20,0.41,0.01,19.5,0.37,19.5,0.37,0.01
2023/4/2,21,0.37,0.01,19.5,0.37,19.5,0.37,0.01
2023/4/2,22,0.44,0.01,19.5,0.37,19.5,0.37,0.01
2023/4/2,23,0.39,0.01,19.5,0.37,19.5,0.37,0.01
2023/4/2,24,0.34,0.01,19.5,0.37,19.5,0.37,0.01
2023/4/2,25,0.34,0.01,19.5,0.34,19.5,0.34,0.01
2023/4/2,26,0.44,0.01,19.5,0.34,19.5,0.34,0.01
2023/4/2,27,0.42,0.01,19.5,0.34,19.5,0.34,0.01
2023/4/2,28,0.42,0.01,19.5,0.34,19.5,0.34,0.01
2023/4/2,29,0.56,0.01,19.5,0.34,19.5,0.34,0.01
2023/4/2,30,0.71,0.01,19.5,0.34,19.5,0.34,0.01
2023/4/2,31,0.77,0.01,19.5,1.44,19.5,1.44,0.01
2023/4/2,32,1.14,0.01,19.5,1.44,19.5,1.44,0.01
2023/4/2,33,1.41,1.62,19.5,1.44,19.5,1.44,1.62
2023/4/2,34,5.08,8.82,19.5,1.44,19.5,1.44,8.82
2023/4/2,35,6.23,9.65,19.5,1.44,19.5,1.44,9.65
2023/4/2,36,7.41,11.09,19.5,1.44,19.5,1.44,11.09
2023/4/2,37,8.47,11.02,19.5,2.33,19.5,2.33,11.02
2023/4/2,38,11.43,14,19.5,2.33,19.5,2.33,14
2023/4/2,39,11.17,13.11,19.5,2.33,19.5,2.33,13.11
2023/4/2,40,10.76,13.48,19.5,2.33,19.5,2.33,13.48
2023/4/2,41,10.05,13.28,19.5,2.33,19.5,2.33,13.28
2023/4/2,42,9.27,13.09,19.5,2.33,19.5,2.33,13.09
2023/4/2,43,9.2,13.14,19.5,0.82,19.5,0.82,13.14
2023/4/2,44,8.6,10.83,19.5,0.82,19.5,0.82,10.83
2023/4/2,45,8.79,10.64,19.5,0.82,19.5,0.82,10.64
2023/4/2,46,8.94,10.83,19.5,0.82,19.5,0.82,10.83
2023/4/2,47,7.85,10.81,19.5,0.82,19.5,0.82,10.81
2023/4/2,48,7.43,10.48,19.5,0.82,19.5,0.82,10.48
2023/4/3,1,8.68,10.48,19.5,0.34,19.5,0.34,10.48
2023/4/3,2,9.54,10.17,19.5,0.34,19.5,0.34,10.17
2023/4/3,3,9.71,8.5,19.5,0.34,19.5,0.34,8.5
2023/4/3,4,9.26,8.5,19.5,0.34,19.5,0.34,8.5
2023/4/3,5,9.48,10.17,19.5,0.34,19.5,0.34,10.17
2023/4/3,6,9.85,10.48,19.5,0.34,19.5,0.34,10.48
2023/4/3,7,9.87,10.84,19.5,0.34,19.5,0.34,10.84
2023/4/3,8,9.84,11.1,19.5,0.34,19.5,0.34,11.1
2023/4/3,9,9.78,11.74,19.5,0.34,19.5,0.34,11.74
2023/4/3,10,9.98,14.22,19.5,0.34,19.5,0.34,14.22
2023/4/3,11,10.29,14,19.5,0.34,19.5,0.34,14
2023/4/3,12,8.97,13.02,19.5,0.34,19.5,0.34,13.02
2023/4/3,13,8.67,12.39,19.5,3.57,19.5,3.57,12.39
2023/4/3,14,9.16,10.13,19.5,3.57,19.5,3.57,10.13
2023/4/3,15,5.41,8.98,19.5,3.57,19.5,3.57,8.98
2023/4/3,16,1.56,5.39,19.5,3.57,19.5,3.57,5.39
2023/4/3,17,2.65,1.23,19.5,3.57,19.5,3.57,1.23
2023/4/3,18,1.27,0.5,19.5,3.57,19.5,3.57,0.5
2023/4/3,19,0.1,0.2,19.5,1.66,19.5,1.66,0.2
2023/4/3,20,0.04,0.01,19.5,1.66,19.5,1.66,0.01
2023/4/3,21,0.05,0.01,19.5,1.66,19.5,1.66,0.01
2023/4/3,22,0.18,0.01,19.5,1.66,19.5,1.66,0.01
2023/4/3,23,0.26,0.01,19.5,1.66,19.5,1.66,0.01
2023/4/3,24,0.21,0.01,19.5,1.66,19.5,1.66,0.01
2023/4/3,25,0.03,0.01,19.5,1.17,19.5,1.17,0.01
2023/4/3,26,0.39,0.01,19.5,1.17,19.5,1.17,0.01
2023/4/3,27,0.48,0.01,19.5,1.17,19.5,1.17,0.01
2023/4/3,28,0.43,0.01,19.5,1.17,19.5,1.17,0.01
2023/4/3,29,0.47,0.01,19.5,1.17,19.5,1.17,0.01
2023/4/3,30,0.4,2,19.5,1.17,19.5,1.17,2
2023/4/3,31,0.34,3,19.5,4.25,19.5,4.25,3
2023/4/3,32,0.66,9.41,19.5,4.25,19.5,4.25,9.41
2023/4/3,33,3.79,8.82,19.5,4.25,19.5,4.25,8.82
2023/4/3,34,8.23,8.96,19.5,4.25,19.5,4.25,8.96
2023/4/3,35,8.82,9.62,19.5,4.25,19.5,4.25,9.62
2023/4/3,36,11.35,10.82,19.5,4.25,19.5,4.25,10.82
2023/4/3,37,11.95,11.09,19.5,2.66,19.5,2.66,11.09
2023/4/3,38,13.21,12.76,19.5,2.66,19.5,2.66,12.76
2023/4/3,39,13.23,11.09,19.5,2.66,19.5,2.66,11.09
2023/4/3,40,12.51,10.84,19.5,2.66,19.5,2.66,10.84
2023/4/3,41,13.21,10.84,19.5,2.66,19.5,2.66,10.84
2023/4/3,42,12.76,10.82,19.5,2.66,19.5,2.66,10.82
2023/4/3,43,12.16,10.48,19.5,0.38,19.5,0.38,10.48
2023/4/3,44,11.18,10.82,19.5,0.38,19.5,0.38,10.82
2023/4/3,45,11.29,10.13,19.5,0.38,19.5,0.38,10.13
2023/4/3,46,11.05,10,19.5,0.38,19.5,0.38,10
2023/4/3,47,10.15,9.62,19.5,0.38,19.5,0.38,9.62
2023/4/3,48,9.46,9.22,19.5,0.38,19.5,0.38,9.22
2023/4/4,1,10.1,10.13,19.5,0.35,19.5,0.35,10.13
2023/4/4,2,10.01,9.62,19.5,0.35,19.5,0.35,9.62
2023/4/4,3,9.8,9.4,19.5,0.35,19.5,0.35,9.4
2023/4/4,4,9.35,9.62,19.5,0.35,19.5,0.35,9.62
2023/4/4,5,9.81,7,19.5,0.35,19.5,0.35,7
2023/4/4,6,9.75,7,19.5,0.35,19.5,0.35,7
2023/4/4,7,10.5,7,19.5,0.54,19.5,0.54,7
2023/4/4,8,10.21,6,19.5,0.54,19.5,0.54,6
2023/4/4,9,10.74,6,19.5,0.54,19.5,0.54,6
2023/4/4,10,10.89,6,19.5,0.54,19.5,0.54,6
2023/4/4,11,11.35,6,19.5,0.54,19.5,0.54,6
2023/4/4,12,11.79,6,19.5,0.54,19.5,0.54,6
2023/4/4,13,11.44,10.17,19.5,1.28,19.5,1.28,10.17
2023/4/4,14,10.75,10.43,19.5,1.28,19.5,1.28,10.43
2023/4/4,15,9.17,10.48,19.5,1.28,19.5,1.28,10.48
2023/4/4,16,5.72,10.5,19.5,1.28,19.5,1.28,10.5
2023/4/4,17,8.33,14.03,19.5,1.28,19.5,1.28,14.03
